"x","f_true","mu","lo","up"
0,0.00669285092428486,-0.063228028862506,-0.257718401564612,0.0591785719184793
0.0101010101010101,0.00739895604971967,-0.0538897930699398,-0.226035528840774,0.0653025405678573
0.0202020202020202,0.00817894285628216,-0.0446866951562885,-0.184951792422955,0.0798975285712664
0.0303030303030303,0.00904040580893313,-0.0357438022711161,-0.158116262869752,0.0801603199774282
0.0404040404040404,0.00999168993620805,-0.0271678495132633,-0.135446867292114,0.0843817488383086
0.0505050505050505,0.0110419583374948,-0.0190415559361615,-0.120374882930863,0.0851743107312783
0.0606060606060606,0.0122012642606361,-0.0114200734267051,-0.114310757874101,0.0810341716200979
0.0707070707070707,0.0134806277008458,-0.00432872255935023,-0.107749846757612,0.0819328002052928
0.0808080808080808,0.0148921163632603,0.00223818516739574,-0.0952884782605102,0.0885599041641644
0.0909090909090909,0.016448930693418,0.00831665946154077,-0.0802518927700271,0.0980322462835713
0.101010101010101,0.0181654925071557,0.013969399833467,-0.0809492507533439,0.0955531334128286
0.111111111111111,0.0200575365378504,0.0192789183230445,-0.0764164253595773,0.0978680601491076
0.121212121212121,0.0221422039581321,0.0243383876632228,-0.0704500562152257,0.102147318031235
0.131313131313131,0.0244381366183327,0.0292419959946494,-0.0647023159374528,0.1056475284352
0.141414141414141,0.0269655703680902,0.0340765136752208,-0.0618464690973137,0.108498674015134
0.151515151515152,0.0297464253840742,0.0389152203548981,-0.0526257726639438,0.114251572470247
0.161616161616162,0.0328043909099428,0.0438148974984915,-0.0439042441945812,0.120632628121003
0.171717171717172,0.0361650012201877,0.048816316198117,-0.0357510899281106,0.126765675970079
0.181818181818182,0.0398556989458897,0.053948141221364,-0.0269756725422595,0.134406674799443
0.191919191919192,0.043905881149939,0.0592333210871675,-0.0184246418307713,0.142984178416434
0.202020202020202,0.0483469227198978,0.0646963680819212,-0.0130756503621174,0.148389094415592
0.212121212121212,0.0532121707739111,0.0703700293770182,-0.0047873303304341,0.156342150689284
0.222222222222222,0.0585369028743679,0.0763005753012924,0.00147331895793179,0.164142535342762
0.232323232323232,0.0643582409533987,0.0825515272263514,0.00777250796183648,0.174898465319635
0.242424242424242,0.0707150120271437,0.0892056138486796,0.00820848631934468,0.178847483839437
0.252525252525253,0.0776475460834248,0.0963644061647253,0.0105145514763961,0.183231317220802
0.262626262626263,0.0851974010615884,0.104145169576173,0.0155111341425791,0.191625750580394
0.272727272727273,0.0934070047168322,0.112675244247947,0.0248340984857882,0.202206870791208
0.282828282828283,0.10231920350807,0.122085193264772,0.0331441207425308,0.214687813058041
0.292929292929293,0.111976709619747,0.132502273269229,0.0475662125222065,0.230458034459637
0.303030303030303,0.122421438986213,0.144045223429905,0.0608781355287816,0.243963811718537
0.313131313131313,0.133693735893854,0.156820372715514,0.0724819055627589,0.257975223506795
0.323232323232323,0.145831483534915,0.170918313297887,0.0746973582141408,0.261995995168273
0.333333333333333,0.158869104880915,0.186410236958153,0.0921213519748446,0.280329279090159
0.343434343434343,0.172836464466189,0.203343352193977,0.105831001490978,0.294347835345743
0.353535353535354,0.187757689054821,0.221735257939582,0.11681500524734,0.30816012139065
0.363636363636364,0.203649933502219,0.241567565492653,0.135470378277888,0.330869280665265
0.373737373737374,0.220522127045569,0.262779479676977,0.161610525027425,0.35907239634086
0.383838383838384,0.238373744210397,0.285262515043551,0.179787640034484,0.380530150691647
0.393939393939394,0.257193652764382,0.308857850070087,0.204089532093584,0.403735970440438
0.404040404040404,0.276959097788159,0.333357687210931,0.229518944357746,0.43052012912062
0.414141414141414,0.297634884974422,0.358511256183843,0.252758963207701,0.451227923055914
0.424242424242424,0.31917282672147,0.384035064136034,0.285622227963042,0.484672120376927
0.434343434343434,0.341511510597479,0.409626230128822,0.303406314557673,0.500580183815092
0.444444444444444,0.364576440741639,0.434977651814028,0.338752502939571,0.534021828849356
0.454545454545455,0.388280588592839,0.459794229649002,0.366861613700381,0.561571643020711
0.464646464646465,0.412525370401818,0.483809838528995,0.376489984236872,0.573940232662842
0.474747474747475,0.437202046305618,0.506804580967958,0.403870786818161,0.599512824407155
0.484848484848485,0.462193510926849,0.528620953666018,0.425295747570979,0.619809566464371
0.494949494949495,0.487376420569925,0.549176443993018,0.442389555834336,0.63489566271883
0.505050505050505,0.512623579430075,0.568469619326205,0.460579571152005,0.652324146884613
0.515151515151515,0.537806489073151,0.586577579811181,0.486827060782657,0.679182522646314
0.525252525252525,0.562797953694383,0.603644570728418,0.4956988294967,0.687463156358674
0.535353535353535,0.587474629598182,0.619863756449295,0.526868349107264,0.720830144219548
0.545454545454546,0.611719411407162,0.635455656451997,0.534234997614199,0.727769380307082
0.555555555555556,0.635423559258361,0.650647018032674,0.55764553840171,0.751208104005413
0.565656565656566,0.658488489402521,0.665653114639328,0.562167043228034,0.756713920952264
0.575757575757576,0.68082717327853,0.680665147411322,0.587323020310405,0.784807666609107
0.585858585858586,0.702365115025578,0.695843030737405,0.595760458418574,0.792883265377154
0.595959595959596,0.723040902211841,0.711312562122369,0.604628721842172,0.803608691517943
0.606060606060606,0.742806347235618,0.727164999737291,0.622531992410432,0.820582407809437
0.616161616161616,0.761626255789603,0.743456740686366,0.643941367746401,0.839412531170849
0.626262626262626,0.779477872954431,0.760207382359285,0.663578879687634,0.855204295749436
0.636363636363636,0.796350066497781,0.77739577526981,0.680479904689044,0.870643647771764
0.646464646464647,0.81224231094518,0.794955095088095,0.700913224547777,0.888942192226066
0.656565656565657,0.827163535533811,0.812768853681849,0.719959339395212,0.902616751329906
0.666666666666667,0.841130895119085,0.830669974397983,0.734545041638044,0.914450195902771
0.676767676767677,0.854168516465085,0.848444780082755,0.753181217243907,0.932025707854387
0.686868686868687,0.866306264106147,0.865843124733006,0.776129201710097,0.951646953268496
0.696969696969697,0.877578561013787,0.882594864288276,0.792101465275883,0.965061014438789
0.707070707070707,0.888023290380253,0.898431408643749,0.811307293948311,0.981262070050193
0.717171717171717,0.89768079649193,0.913109597997116,0.825287243575616,0.994937833520002
0.727272727272727,0.906592995283168,0.92643421441583,0.844765744420031,1.01055448157518
0.737373737373737,0.914802598938412,0.938275494630155,0.855207741371093,1.02186951186643
0.747474747474748,0.922352453916575,0.948579006641824,0.871187859794398,1.03623830304837
0.757575757575758,0.929284987972856,0.957366774015895,0.882047579713452,1.04434814042949
0.767676767676768,0.935641759046601,0.964730084801884,0.883259982221312,1.04684584563366
0.777777777777778,0.941463097125632,0.970815668425314,0.88920181533487,1.05107648543263
0.787878787878788,0.946787829226089,0.975807732001502,0.893698612865216,1.05609607856628
0.797979797979798,0.951653077280102,0.979908702752372,0.901311129390588,1.06510297659877
0.808080808080808,0.956094118850061,0.983321410249894,0.906019717279953,1.07128021778288
0.818181818181818,0.96014430105411,0.986234829624516,0.908743511498303,1.07469479831548
0.828282828282828,0.963834998779812,0.988814466128367,0.908185846515481,1.07503603822785
0.838383838383838,0.967195609090057,0.991197281685526,0.909794736013169,1.07600527772992
0.848484848484849,0.970253574615926,0.993490180254757,0.912087068081433,1.07934588932499
0.858585858585859,0.97303442963191,0.995770803276789,0.912324623102843,1.08069086234379
0.868686868686869,0.975561863381667,0.998089720411942,0.918328261682393,1.08744721164344
0.878787878787879,0.977857796041868,1.00047368701781,0.918794406232016,1.08926256651571
0.888888888888889,0.97994246346215,1.00293004676117,0.916591026265604,1.08990079921421
0.898989898989899,0.981834507492844,1.00545234103561,0.92335305383883,1.09630818578211
0.909090909090909,0.983551069306582,1.0080267957022,0.925130385195155,1.09927786825926
0.919191919191919,0.98510788363674,1.01063884370338,0.91671949850445,1.09917714766258
0.929292929292929,0.986519372299154,1.0132784945306,0.917122202657671,1.10356893742621
0.939393939393939,0.987798735739364,1.01594336753837,0.917768187435323,1.10816658648242
0.94949494949495,0.988958041662505,1.0186386237056,0.923703454496249,1.11601699225872
0.95959595959596,0.990008310063792,1.02137380394185,0.925724985327516,1.12244797297113
0.96969696969697,0.990959594191067,1.02415754696422,0.915954622114081,1.11779069748017
0.97979797979798,0.991821057143718,1.02699202077969,0.918619565396324,1.12361247314981
0.98989898989899,0.99260104395028,1.02986925510469,0.919957408995154,1.12944175179693
1,0.993307149075715,1.03277106119282,0.924609875382198,1.13767714999268
